,deal_names,deal_sites
74,PrimeMembers:WORXWX051PegasusFoldingWorkTable&Sawhorse,Amazon
75,MilwaukeeM18Rocket2500LumenLEDDualPowerTripodTowerLight(ToolOnly),Ace Hardware
76,BlackSabbath:Paranoid(VinylAlbum),Walmart
77,PrimeMemberOffer:20%Off$15+GrubhubOrder+1-YearGrubhub+Membership,Amazon
78,"Ryobi3400PSI2.3GPMColdWaterGasPressureWasherw/16""SurfaceCleaner",Home Depot
79,PrimeMembers:AMDRyzen95900X3.7GHz12-CoreUnlockedDesktopProcessor,Amazon
80,8-OzJohnPaulPetDetanglingSprayforDogs/Cats(LavenderMint),Amazon
81,"AmazonBasicsRubberEncasedHexDumbbell:25-lbs$24.45,15-lbs",Amazon
82,3-OzStella&Chewy'sFreeze-DriedRawBeefHeartTreats,Amazon
83,MicrosoftOfficeProfessional2021LifetimeLicense(WindowsDigitalDownload),GameSpot
84,"13""MultipetDuckworthPlushDogToy(AssortedColors)",Amazon
85,GoogleFi:128GBGooglePixel7Pre-Order+4-MonthsofFiService(Port-InReq.),Google Fi
86,BeatsSolo3WirelessOn-EarHeadphones(VariousColors),Amazon
87,PrimeMembers:FireTVCube4KStreamingDevicew/Hands-FreeAlexa(2ndGen),Amazon
88,Setof2MainstaysGreysonSquareOutdoorPatioSteelSlingFoldingChairs,Walmart
89,"ASUSVivoBookProLaptop:16""(3840x2400),i7-11370H,16GBRAM,1TBSSD,RTX3050",Newegg
90,"WalgreensPhoto:TilePix8.3""x8.3""FramedPhoto:3-Pack$11.25,1-Pack",Walgreens
91,18TBWesternDigitalElementsUSB3.0ExternalHardDrive,Amazon
92,ToeJam&Earl:BackintheGroove!(NintendoSwitchDigitalDownload),Nintendo
93,PrimeMembers:AppleAirPodsProWirelessEarbudsw/MagSafeCase(2ndGen),Amazon
94,"SamsungEPP:49""SamsungCRG95120x1440QHD120HzQLEDCurvedGamingMonitor",Samsung
95,"PrimeMembers:64GBApple10.2""iPadWiFiTablet(2021Model)",Amazon
96,"18TBWesternDigitalWDRedPro7200RPM3.5""NASInternalHardDrive",Western Digital
97,"NewVisibleMembers:SelectApple,Google,SamsungSmartphonew/$300VisibleGC",Visible
98,PrimeMembers:512GBSamsungEVOSelectUHS-1A2/V30microSDXCMemoryCard,Amazon
99,Fanatical:DigitalPCGameBundles:TheWalkingDeadSeason1&2+400DaysDLC,Fanatical
100,ZackSnyder's:JusticeLeague(2021)(Digital4KUHDFilm),Google Play
101,"PrimeMembers:4KMovies:BladeRunner2049$10,TheShawshankRedemption",Amazon
102,"SonyWH-1000XM5WirelessNoise-CancellingBluetoothHeadphones(Refurb,Black)",Secondipity
103,AmazonBasicsGE&LGRefrigeratorWaterFilters,Amazon
104,PrimeMembers:GooglePixelBudsProNoiseCancelingEarbuds(3colors),Amazon
105,PrimeMembers:32GBAppleTV4KStreamingMediaPlayer(2021Model),Amazon
106,CostcoMembers:15-PackFiskarsMicroTipPruningScissors,Costco Wholesale
107,NikeMen'sRenewRetaliationTR3TrainingShoes,Nike
108,BeatsSolo3WirelessOn-EarHeadphones(Black),Amazon
109,CostcoMembers:Tiger5.5-CupMicomRiceCooker/Warmer,Costco Wholesale
110,200-CountOne-A-DayMen'sCompleteMultivitaminSupplement,Amazon
111,10'AmazonBasicsHDMICable(Gold),Amazon
112,PrimeMembers:AmazonWarehouseDealSale:SelectUsed&OpenBoxItems,Amazon
113,AmexCardholders:SonyPS5Controller+DellStereoSoundbar+$25PromoCard,Dell Technologies
114,"42""LGEVOC2Series4KOLEDSmartTVw/Alexa",Amazon
115,PrimeMembers:Woot!T-Shirts/Apparel(variousshirts/designs),Woot!
116,WageGamingHeadsets:ProGamingHeadset$8orUniversalGamingHeadset,Woot!
117,Levi's:ExtraSavingsonSaleStyles,Levi's
118,EurekaAirspeedCompactBaglessUprightVacuumCleaner,Walmart
119,StonemaierGamesScytheBoardGame,Amazon
120,"48""AORUSFO48U4K120HzOLED1msFreeSyncGamingMonitor",Newegg
121,Fridaythe13thCollection:DeluxeEdition(Blu-ray),Amazon
122,SoundcorebyAnker-SelectProPortableWaterproofBluetoothSpeaker,Walmart
123,"AmazonEchoShow1515.6""1080pSmartDisplayw/Alexa",Amazon
124,BBCEarth:PerfectPlanetNarratedbyDavidAttenborough(4KUHD+Blu-ray),Amazon
125,2-PackNylaboneHealthyEdiblesAntlerWildDogTreat(Medium/Wolf),Amazon
126,"eBayCoupon:SavingsonSelectTirePurchase:$200off$1k,$150off$750or",eBay
